1,1 1,02
1,2 1,042
1,3 1,0662
1,4 1,09282
1,5 1,122102
1,6 1,1543122
1,7 1,18974342
1,8 1,228717762
1,9 1,2715895382
2,0 1,31874849202
2,1 1,370623341222
2,2 1,4276856753442
2,3 1,49045424287862
2,4 1,559499667166482
2,5 1,6354496338831302
2,6 1,71899459727144322
2,7 1,810894056998587542
2,8 1,9119834626984462962
2,9 2,02318180896829092582
3,0 2,145499989865120018402
3,1 2,2800499888516320202422
3,2 2,42805498773679522226642
3,3 2,590860486510474744493062
3,4 2,7699465351615222189423682
3,5 2,96694118867767444083660502
3,6 3,183635307545441884920265522
3,7 3,4219988382999860734122920742
3,8 3,6841987221299846807535212816
3,9 3,9726185943429831488288734098
4,0 4,2898804537772814637117607508
4,1 4,6388684991550096100829368259
4,2 5,0227553490705105710912305085
4,3 5,4450308839775616282003535593
4,4 5,9095339723753177910203889152
4,5 6,4204873696128495701224278067
4,6 6,9825361065741345271346705874
4,7 7,6007897172315479798481376461
4,8 8,280868688954702777832951411
4,9 9,028955557850173055616246552
5,0 9,851851113635190361177871207
5,1 10,757036224998709397295658328
5,2 11,752739847498580337025224161
5,3 12,848013832248438370727746577
5,4 14,052815215473282207800521235
5,5 15,378096737020610428580573358
5,6 16,835906410722671471438630694
5,7 18,439497051794938618582493763
5,8 20,203446756974432480440743139
5,9 22,143791432671875728484817453
6,0 24,278170575939063301333299198
6,1 26,625987633532969631466629118
6,2 29,208586396886266594613292030
6,3 32,049445036574893254074621233
6,4 35,174389540232382579482083356
6,5 38,611828494255620837430291692
6,6 42,393011343681182921173320861
6,7 46,552312478049301213290652947
6,8 51,127543725854231334619718242
6,9 56,160298098439654468081690066
7,0 61,696327908283619914889859073
7,1 67,785960699111981906378844980
7,2 74,484556769023180097016729478
7,3 81,85301244592549810671840243
7,4 89,95831369051804791739024267
7,5 98,87414505956985270912926694
7,6 108,68155956552683798004219363
7,7 119,46971552207952177804641299
7,8 131,33668707428747395585105429
7,9 144,39035578171622135143615972
8,0 158,74939135988784348657977569
8,1 174,54433049587662783523775326
8,2 191,91876354546429061876152859
8,3 211,03063990001071968063768145
8,4 232,05370389001179164870144960
8,5 255,17907427901297081357159456
8,6 280,61698170691426789492875402
8,7 308,59867987760569468442162942
8,8 339,37854786536626415286379236
8,9 373,23640265190289056815017160
9,0 410,48004291709317962496518876
9,1 451,44804720880249758746170764
9,2 496,51285192968274734620787840
9,3 546,08413712265102208082866624
9,4 600,61255083491612428891153286
9,5 660,59380591840773671780268615
9,6 726,57318651024851038958295476
9,7 799,1505051612733614285412502
9,8 878,9855556774006975713953752
9,9 966,8041112451407673285349127
10,0 1063,4045223696548440613884040
10,1 1169,6649746066203284675272444
10,2 1286,5514720672823613142799688
10,3 1415,1266192740105974457079657
10,4 1556,5592812014116571902787623
10,5 1712,1352093215528229093066385
10,6 1883,2687302537081052002373024
10,7 2071,5156032790789157202610326
10,8 2278,5871636069868072922871359
10,9 2506,3658799676854880215158495
11,0 2756,9224679644540368236674344
